"filename", "language", "JSON", "XML", "C#", "HLSL", "ShaderLab", "CMake", "log", "CMake Cache", "C", "C++", "comment", "blank", "total"
"c:\Users\dimas\VR-Adha\Assets\TextMesh Pro\Shaders\TMPro.cginc", "HLSL", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 2, 20, 85
"c:\Users\dimas\VR-Adha\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "HLSL", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 2, 35, 166
"c:\Users\dimas\VR-Adha\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "HLSL", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 6, 13, 81
"c:\Users\dimas\VR-Adha\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "HLSL", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 7, 18, 100
"c:\Users\dimas\VR-Adha\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 157
"c:\Users\dimas\VR-Adha\Assets\TutorialInfo\Scripts\Editor\ReadmeEditor.cs", "C#", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 1, 47, 243
"c:\Users\dimas\VR-Adha\Assets\TutorialInfo\Scripts\Readme.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\dimas\VR-Adha\Packages\manifest.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\dimas\VR-Adha\Packages\packages-lock.json", "JSON", 520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 521
"Total", "-", 5904, 2803, 3600, 459, 2401, 592, 472, 680, 1220, 1196, 1145, 3118, 23590
